OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,park_per1k
1,101110,4927,3185.0,11171,1727.0,3916,63.3,74625,462.0,9.37690278059671,61.0,0.43,10.35,24.55,9.86,9.14,13.95,12295621.3564453,15083.8542859501,0.394777
2,101122,3742,3513.0,3666,1366.0,1338,66.6,93125,133.0,3.5542490646713,76.69,3.59,10.34,4.42,13.35,8.6,6.64,28457743.5634766,31671.4558406493,6.528126
3,101220,3334,3035.0,12356,1325.0,4911,59.3,55682,496.0,14.877024595081,43.95,2.49,10.33,40.29,21.22,22.31,16.71,7522092.633789059,12698.7838090554,0.0
4,101221,3413,3111.0,24960,1356.0,9917,58.1,46274,590.0,17.2868444184002,53.5,5.62,7.05,31.21,25.52,24.91,34.1,3811999.6660156306,9161.71054242555,0.0
5,101222,2740,2167.0,23935,1016.0,8875,57.7,30016,951.0,34.7080291970803,53.96,0.15,2.39,43.5,16.47,23.35,15.38,3191370.85546875,9980.60046018293,0.416922
6,101300,4257,3330.0,4273,1599.0,1605,56.9,87066,259.0,6.0840967817712,80.43,4.6,3.72,9.62,9.16,9.16,9.8,27773766.066406295,29384.8605989579,0.274858
7,101400,3957,2708.0,1624,1493.0,613,43.0,66210,179.0,4.52362901187769,69.53,0.4,9.09,15.77,9.79,11.12,5.61,67915323.0556641,42668.9289818558,17.81584
8,102103,2175,1421.0,4748,781.0,1705,69.0,59005,18.0,0.827586206896552,75.0,1.09,12.6,8.960000000000004,4.29,5.0,6.47,12770232.6542969,16349.9350004355,20.981552
9,102104,3921,3456.0,6123,1344.0,2099,71.9,98973,265.0,6.75847997959704,68.81,1.98,11.51,12.4,7.96,7.23,10.07,17851202.5253906,27555.4663570132,18.170346
10,102105,1843,1455.0,9688,555.0,2917,63.0,82438,167.0,9.0613130765057,23.04,0.56,4.230000000000002,67.17,17.39,8.32,4.79,5303654.19921875,9962.25112556068,0.290037
11,102107,4050,3462.0,812,1293.0,259,53.7,83200,395.0,9.753086419753092,61.71,1.54,10.26,23.57,11.35,4.91,10.15,139083341.077148,63679.4342636434,46.463916
12,103101,2716,2021.0,3466,981.0,1252,67.3,109000,70.0,2.57731958762887,67.35,0.76,6.4,23.39,10.34,4.75,1.4,21846686.8642578,25422.1276346165,0.0
13,103102,4718,4022.0,9847,1687.0,3521,61.4,71038,254.0,5.38363713437897,59.33,0.0,9.9,27.4,16.46,16.93,10.1,13357089.8369141,16530.3942593289,0.001132
14,103201,4710,3286.0,6241,1444.0,1913,59.5,73844,555.0,11.7834394904459,61.27,1.06,9.37,26.21,10.41,5.96,4.82,21039344.7734375,18231.1693739708,4.791069
15,103202,1966,2102.0,1075,671.0,367,55.6,106125,0.0,0.0,38.42,1.4,4.75,32.43,10.09,3.57,12.05,50999127.7324219,45719.3685482505,4.889832
16,103300,3925,2945.0,1655,1394.0,588,56.9,113568,137.0,3.49044585987261,75.68,0.11,8.050000000000002,12.13,3.7,1.09,8.42,66105765.8222656,37338.6863131746,19.776599
