CT20,total_park_acres
"101110",1.945064
"101122",24.428247
"101222",1.142367
"101300",1.170071
"101400",70.497279
"102103",45.634876
"102104",71.245925
"102105",0.534539
"102107",188.17886
"103102",0.005343
"103201",22.565933
"103202",9.61341
"103300",77.623152
"104108",0.087272
"104124",41.287012
"104203",2.074814
"104204",9.987895
"104310",5.775304
"104401",14.04117
"104403",5.955418
"104701",6.802323
"104704",14.415804
"104823",0.137685
"106010",12.582482
"106020",14.402573
"106111",79.983914
"106114",0.000252
"106403",20.025102
"106406",0.041838
"106510",34.886352
"106603",718.268439
"106604",1.29355
"106643",11.880957
"106645",0.364548
"106649",21.682448
"107020",1.469265
"108101",10.153736
"108102",30.285258
"108103",193.634555
"108104",21.771486
"108202",116.656193
"108203",22.492964
"108204",69.582159
"109100",18.49478
"109300",3.560658
"109400",2.199277
"109500",1.555147
"109601",4.836904
"111204",21.349852
"111205",33.357199
"111402",18.336364
"113102",57.611138
"113211",779.121529
"113231",0.414048
"113232",7.262312
"113235",0.731934
"113237",116.553508
"113238",1.419455
"113428",16.312553
"115101",9.117746
"115202",7.232855
"115301",9.562229
"117303",2.524374
"117520",3.197217
"119001",13.587165
"119202",0.707974
"119310",2.663007
"119320",1.611975
"119900",5.999986
"120010",0.287772
"120030",0.696392
"120108",10.905122
"121010",69.355821
"121020",5.077884
"121102",13.70991
"121600",11.391513
"122122",17.262117
"122200",1.110495
"123301",23.752326
"123304",34.206906
"123410",0.398675
"123510",0.065991
"123520",0.091864
"123601",11.123027
"123800",3.963247
"123901",15.212009
"124102",1.95291
"124201",6.602114
"124300",10.492739
"124400",3.015623
"125200",59.471931
"127910",3.897603
"128102",1.378014
"128302",6.065165
"128703",65.549929
"128801",1.939312
"128910",9.300668
"131600",0.784213
"132002",8.408253
"132502",10.512414
"132700",6.095016
"132900",25.980277
"134002",4.260313
"134305",19.19997
"134421",2.240988
"134422",1.997541
"134423",26.563215
"134424",84.969773
"134522",0.773335
"134720",5.929848
"135102",12.704225
"135205",254.584526
"137103",16.679939
"137202",18.760933
"137401",8.83936
"137502",0.3621
"137504",493.692113
"138000",269.149685
"139001",0
"139301",5.572093
"139401",0.104474
"139600",5.25304
"139701",53.902753
"139703",48.817507
"139704",24.131481
"139705",20.845589
"139802",297.072281
"141600",79.403177
"141700",68.214102
"143200",6.11509
"143302",2.413169
"143401",9.308623
"143500",0.494551
"143603",8.342968
"143605",14.773415
"143700",18.494555
"143901",235.367414
"143902",132.495435
"181000",40.945562
"181300",0.00079
"181500",0.273791
"181600",10.004999
"183101",12.02353
"183103",25.528569
"183104",0.044351
"183401",0.29361
"183620",5.413639
"183701",9.409272
"183702",53.615975
"183820",0.562057
"185101",16.647296
"185102",31.508663
"185202",0.596043
"185310",0.178024
"185320",3.489364
"186301",0.115714
"186302",12.663086
"186401",1.638086
"187102",61.611656
"187200",7.843542
"188100",6.547076
"188201",8.886806
"188202",0.188945
"189102",2.582588
"189202",0.256521
"189300",12.220027
"189400",3.856967
"189600",8.802869
"189702",92.682031
"189703",57.422457
"190101",1.399306
"190202",2.116445
"190701",0.223837
"190702",1.372264
"190802",1.292145
"190901",0.516512
"191000",0.38223
"191120",0.172187
"191201",14.291516
"191301",0.559717
"191610",3.527549
"192001",6.289746
"192002",0.060138
"192700",0.516433
"194101",263.313912
"194102",52.688321
"194401",0.37883
"195100",9.683197
"195500",2.609547
"195803",0.539138
"195902",9.106041
"197200",2.108128
"197300",1.735473
"197410",18.543889
"197500",23.949619
"197700",0.532735
"199002",4.997301
"199120",42.817173
"199201",0.737615
"199202",15.393965
"199300",338.907588
"199400",8.426152
"199700",10.709001
"199802",1.590515
"199900",0.436609
"201110",7.990025
"201301",12.384088
"201302",2.490941
"201401",28.132991
"201402",74.02359
"201501",0.773677
"201601",1.804776
"201602",1.210702
"203100",6.434918
"203200",1.870863
"203300",24.183502
"203500",2.702028
"203602",2.61723
"204300",6.885704
"204420",0.088233
"204600",20.035657
"204700",7.221016
"204810",5.692072
"205110",0.05039
"205120",1.664699
"206010",61.845097
"206050",0.431804
"206051",0.5144
"206053",4.512061
"206054",0.042854
"206301",0.292721
"206303",0.339888
"207102",2.271981
"207103",2.388079
"207306",1.602026
"207400",15.606196
"207712",6.079853
"207902",2.311726
"208001",9.37141
"208002",5.523064
"208301",0.32397
"208302",0.431459
"208501",1.51822
"208710",0.560938
"208801",31.716425
"209300",0.062955
"209402",0.568192
"211123",8.387418
"211124",5.456665
"211500",1.677031
"212204",0.691025
"212304",0.57433
"212702",4.916723
"212800",5.637996
"213100",0.08363
"213201",3.064473
"214501",26.189913
"215101",23.105958
"216301",0.973699
"216401",0.05421
"216700",7.839209
"217002",1.236929
"217200",0.748383
"218110",0.126608
"218210",0.171066
"218220",1.594227
"218702",0.103129
"218900",2.445676
"219010",0.626807
"219700",21.72632
"219902",4.684609
"220100",6.86774
"221120",0.721893
"221220",3.267558
"221401",0.058929
"221402",0.088411
"221810",0.321425
"222200",2.487653
"222500",1.757534
"224010",0.356992
"224020",0.325898
"224200",2.738309
"224310",0.912158
"224410",2.989674
"224420",1.207487
"224702",2.157202
"226410",2.228107
"227010",1.652083
"228100",11.250563
"228210",0.189469
"228310",0.935874
"228320",17.715668
"228600",0.125487
"228800",2.495209
"228900",12.327107
"229100",0.192887
"229200",0.29469
"229300",18.203585
"229410",9.005807
"231210",0.220616
"231220",16.586809
"231302",2.401428
"232110",0.140694
"232120",0.961101
"232200",3.66348
"232500",1.892558
"232800",0.146345
"234301",1.262146
"234302",0.501293
"234502",0.154873
"234600",5.279777
"234901",0.206268
"234902",0.260711
"235201",0.212901
"236001",99.972745
"236205",2.70521
"236206",7.503284
"236400",38.68678
"237101",0.209785
"237202",12.850449
"237300",0.149462
"237500",1.685263
"237600",0.741175
"237710",0.128376
"237900",0.222298
"238000",19.117665
"238400",8.620367
"239202",7.257697
"239502",0.638256
"240010",0.489529
"240020",7.636598
"240301",16.453002
"240401",0.12821
"240700",1.69322
"241002",6.449596
"241110",0.089912
"241201",0.34065
"242000",3.176589
"242100",3.135372
"242300",1.306324
"242600",4.333738
"242700",2.179105
"243001",0.115973
"243100",2.42965
"261102",128.341299
"261103",23.442444
"261104",441.610042
"261200",65.862638
"262100",1.050926
"262200",335.108702
"262301",507.770882
"262302",24.031134
"262400",1552.841383
"262501",37.310841
"262601",260.327687
"262604",301.255144
"262704",16.4204
"262706",100.445384
"262802",8.958379
"264102",4.912193
"265100",8.51978
"265522",0.287204
"265524",26.692296
"267300",4.323582
"267502",0.22005
"267600",8.6575
"269000",1.983219
"269300",36.862802
"269500",0.120279
"269700",1.47536
"269907",1.165616
"270101",1.714779
"270300",5.85276
"271300",0.006053
"271500",14.34069
"271600",19.048777
"273100",12.302339
"273200",3.586724
"273403",44.504987
"273502",24.75009
"273600",0.132406
"273800",1.453405
"273902",21.798948
"274100",0.090963
"274202",32.695064
"275102",3.012557
"275311",1.02549
"275313",4.815074
"275500",3.1275
"277100",0.005187
"278001",27.652184
"278102",11.429802
"291120",0.091358
"291130",10.555346
"291210",0.001179
"292002",0.158356
"293206",7.964774
"293302",10.088174
"294110",0.501956
"294120",0.131991
"294301",18.860473
"294302",0.635602
"294410",6.193443
"294421",4.468091
"294610",21.995821
"294620",4.14659
"294701",1.333047
"294830",27.309364
"294900",13.418731
"295103",48.910768
"296210",16.881996
"296220",0.22802
"296300",10.665302
"296401",0.002467
"296402",65.639095
"296500",19.585673
"296902",3.587468
"297001",13.13212
"297110",1.620355
"297201",0.05342
"297202",2.260403
"297300",94.955597
"297400",42.129054
"297501",27.014411
"297502",70.47208
"297601",20.955685
"297602",3.691178
"300100",15.868581
"300200",0.182509
"300301",850.893975
"300400",23.011629
