intersect,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
2.093062,"1","1",2.093062,2.093062,0,2.093062,2.093062,2.093062,0,2.093062,2.093062,2.093062,2.093062,0
5.144013,"1","1",5.144013,5.144013,0,5.144013,5.144013,5.144013,0,5.144013,5.144013,5.144013,5.144013,0
1.959612,"1","1",1.959612,1.959612,0,1.959612,1.959612,1.959612,0,1.959612,1.959612,1.959612,1.959612,0
66.342314,"1","1",66.342314,66.342314,0,66.342314,66.342314,66.342314,0,66.342314,66.342314,66.342314,66.342314,0
1.650424,"1","1",1.650424,1.650424,0,1.650424,1.650424,1.650424,0,1.650424,1.650424,1.650424,1.650424,0
32.727271,"1","1",32.727271,32.727271,0,32.727271,32.727271,32.727271,0,32.727271,32.727271,32.727271,32.727271,0
1.546013,"1","1",1.546013,1.546013,0,1.546013,1.546013,1.546013,0,1.546013,1.546013,1.546013,1.546013,0
3.078260,"1","1",3.07826,3.07826,0,3.07826,3.07826,3.07826,0,3.07826,3.07826,3.07826,3.07826,0
13.934161,"1","1",13.934161,13.934161,0,13.934161,13.934161,13.934161,0,13.934161,13.934161,13.934161,13.934161,0
8.397825,"1","1",8.397825,8.397825,0,8.397825,8.397825,8.397825,0,8.397825,8.397825,8.397825,8.397825,0
0.271719,"1","1",0.271719,0.271719,0,0.271719,0.271719,0.271719,0,0.271719,0.271719,0.271719,0.271719,0
18.543889,"1","1",18.543889,18.543889,0,18.543889,18.543889,18.543889,0,18.543889,18.543889,18.543889,18.543889,0
29.850350,"1","1",29.85035,29.85035,0,29.85035,29.85035,29.85035,0,29.85035,29.85035,29.85035,29.85035,0
527.299501,"1","1",527.299501,527.299501,0,527.299501,527.299501,527.299501,0,527.299501,527.299501,527.299501,527.299501,0
2.005061,"1","1",2.005061,2.005061,0,2.005061,2.005061,2.005061,0,2.005061,2.005061,2.005061,2.005061,0
3.881090,"1","1",3.88109,3.88109,0,3.88109,3.88109,3.88109,0,3.88109,3.88109,3.88109,3.88109,0
4.067812,"1","1",4.067812,4.067812,0,4.067812,4.067812,4.067812,0,4.067812,4.067812,4.067812,4.067812,0
5.915444,"1","1",5.915444,5.915444,0,5.915444,5.915444,5.915444,0,5.915444,5.915444,5.915444,5.915444,0
0.532735,"1","1",0.532735,0.532735,0,0.532735,0.532735,0.532735,0,0.532735,0.532735,0.532735,0.532735,0
5.389001,"1","1",5.389001,5.389001,0,5.389001,5.389001,5.389001,0,5.389001,5.389001,5.389001,5.389001,0
1.161148,"1","1",1.161148,1.161148,0,1.161148,1.161148,1.161148,0,1.161148,1.161148,1.161148,1.161148,0
9.263140,"1","1",9.26314,9.26314,0,9.26314,9.26314,9.26314,0,9.26314,9.26314,9.26314,9.26314,0
12.156673,"1","1",12.156673,12.156673,0,12.156673,12.156673,12.156673,0,12.156673,12.156673,12.156673,12.156673,0
9.995985,"1","1",9.995985,9.995985,0,9.995985,9.995985,9.995985,0,9.995985,9.995985,9.995985,9.995985,0
0.126232,"1","1",0.126232,0.126232,0,0.126232,0.126232,0.126232,0,0.126232,0.126232,0.126232,0.126232,0
1.569508,"1","1",1.569508,1.569508,0,1.569508,1.569508,1.569508,0,1.569508,1.569508,1.569508,1.569508,0
0.000000,"2","1",0,0,0,0,0,0,0,0,0,0,0,0
81.870276,"1","1",81.870276,81.870276,0,81.870276,81.870276,81.870276,0,81.870276,81.870276,81.870276,81.870276,0
7.719122,"1","1",7.719122,7.719122,0,7.719122,7.719122,7.719122,0,7.719122,7.719122,7.719122,7.719122,0
2.646184,"1","1",2.646184,2.646184,0,2.646184,2.646184,2.646184,0,2.646184,2.646184,2.646184,2.646184,0
