OBJECTID,area_pop,area_per1k,area_1k,park_reproject_meters_UNIT_ID,park_reproject_meters_LMS_ID,park_reproject_meters_PARK_NAME,park_reproject_meters_PARK_LBL,park_reproject_meters_ACCESS_TYP,park_reproject_meters_RPT_ACRES,park_reproject_meters_GIS_ACRES,park_reproject_meters_AGNCY_NAME,park_reproject_meters_AGNCY_LEV,park_reproject_meters_AGNCY_TYP,park_reproject_meters_AGNCY_WEB,park_reproject_meters_MNG_AGENCY,park_reproject_meters_COGP_TYP,park_reproject_meters_NDS_AN_TYP,park_reproject_meters_NEEDS_ANLZ,park_reproject_meters_TKIT_SUM,park_reproject_meters_AMEN_RPT,park_reproject_meters_PRKINF_CND,park_reproject_meters_AM_OPNSP,park_reproject_meters_AM_TRLS,park_reproject_meters_TRLS_MI,park_reproject_meters_TENIS,park_reproject_meters_BSKTB,park_reproject_meters_BASEB,park_reproject_meters_SOCCR,park_reproject_meters_MPFLD,park_reproject_meters_FITZN,park_reproject_meters_SK8PK,park_reproject_meters_PCNIC,park_reproject_meters_PLGND,park_reproject_meters_POOLS,park_reproject_meters_SPPAD,park_reproject_meters_DGPRK,park_reproject_meters_GYM,park_reproject_meters_COMCT,park_reproject_meters_SNRCT,park_reproject_meters_RSTRM,park_reproject_meters_TOTAL_GOOD,park_reproject_meters_TOTAL_FAIR,park_reproject_meters_TOTAL_POOR,park_reproject_meters_TYPE,park_reproject_meters_CENTER_LAT,park_reproject_meters_CENTER_LON,park_reproject_meters_ADDRESS,park_reproject_meters_CITY,park_reproject_meters_ZIP,park_reproject_meters_HOURS,park_reproject_meters_PHONES,park_reproject_meters_IS_COUNTY,park_reproject_meters_Shape__Are,park_reproject_meters_Shape__Len
"922",266.886,0.820,8.197,"6823",,Joe Machado Field,Joe Machado Field,Open Access,2.187000000000000,2.187603090000000,"Avalon, City of",City,City Agency,http://www.cityofavalon.com/,"Avalon, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","3","0","0",Local Park,33.332136460000001,-118.335189249999999,1000 Avalon Canyon Road,Avalon,"90704",<Null>,,No,95291.608398437500000,1320.078099346130102
"1260",1501.243,2.334,23.340,"8716",,Point Dume State Beach,Point Dume SB,Open Access,36.058000000000000,35.038325360000002,California Department of Parks and Recreation,State,State Agency,http://www.parks.ca.gov/,California Department of Parks and Recreation,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.002485069999999,-118.806403560000007,Cliffside Dr & Birdview Ave,Malibu,"90265",,,No,1526263.345703129889444,6149.317344205969675
"2419",132.241,19.886,198.864,"46085",,Point Vicente Interpretive Center,Point Vicente Interpretive Ctr.,Open Access,26.553000000000001,26.297910609999999,"Rancho Palos Verdes, City of",City,City Agency,http://palosverdes.com/rpv/recreationparks/index.cfm,"Rancho Palos Verdes, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Fair,Present - Fair,0.500000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0",Local Park,33.745278319999997,-118.410726080000003,31501 Palos Verdes Dr W,Rancho Palos Verdes,"90275",,,No,1145532.405273440061137,4998.600978607209072
"1806",1731.580,2.645,26.452,"20661","23077",Malibu Equestrian Park,Malibu Equestrian Park,Open Access,45.802999999999997,45.803374050000002,"Malibu, City of",City,City Agency,http://www.malibucity.org/Index.aspx?NID=335,"Malibu, City of",Special Use,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Good,0.100000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0",Local Park,34.024247819999999,-118.823136840000004,Malibu,Malibu,"90265",,,No,1995186.995117190061137,6758.722668417160094
"2106",583.504,1.486,14.860,"45522",,Trancas Canyon Park,Trancas Canyon Park,Open Access,8.670999999999999,8.671081940000002,"Malibu, City of",City,City Agency,http://www.malibucity.org/Index.aspx?NID=335,"Malibu, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","1","5","0","0",Local Park,34.039790879999998,-118.844895339999994,6050 Trancas Canyon Rd,Malibu,"90265",,,No,377710.818359374941792,3309.250230786449720
"1451",95.120,356.526,3565.264,"12703",,Unnamed site - Mountains Recreation and Conservation Authority,,Unknown Access,339.173000000000002,339.127952880000009,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.500392859999998,-118.636641269999998,,Castaic,"91384",,,No,14772354.541015600785613,22874.662665789699531
"1125",159.217,3.899,38.995,"7102",,Three Springs Park,Three Springs Park,Open Access,3.000000000000000,6.208660250000000,"Westlake Village, City of",City,City Agency,http://www.wlv.org/index.aspx?nid=194,"Westlake Village, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0.000000000000000,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0",Local Park,34.133954840000001,-118.835592879999993,3022 Three Springs Dr,Westlake Village,"91361",,,No,270448.158203125000000,2130.053538278650194
"1554",11.573,3255.757,32557.571,"14839",,Truinfo Creek Park,Santa Monica Mountains NRA,Open Access,376.802000000000021,376.788763529999983,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.128789500000003,-118.815705910000005,Westlake Village,Westlake Village,"91361",,,No,16412852.888671899214387,35522.919431428999815
"1128",1279.913,0.275,2.745,"7106",,Foxfield Park,Foxfield Park,Open Access,1.340000000000000,3.513382060000000,"Westlake Village, City of",City,City Agency,http://www.wlv.org/index.aspx?nid=194,"Westlake Village, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","3","0","0",Local Park,34.138469420000000,-118.817886450000003,Foxfield Dr,Westlake Village,"91361",,,No,153042.323242187994765,2760.367497595610075
"1269",1150.373,1.888,18.885,"9327",,Ramirez Canyon Park,Ramirez Canyon Park,Open Access,21.724000000000000,21.724238400000001,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.037668570000001,-118.792891580000003,5750 Ramirez Canyon Rd,Malibu,"90265",,,No,946304.037109375000000,6991.506140406790109
"1126",2071.895,0.247,2.473,"7104","22986",Berniece Bennett Park,Berniece Bennett Park,Open Access,4.900000000000000,5.123689880000000,"Westlake Village, City of",City,City Agency,http://www.wlv.org/index.aspx?nid=194,"Westlake Village, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0.000000000000000,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","2","2","0",Local Park,34.145837999999998,-118.813412439999993,31800 Village Center Rd,Westlake Village,"91361",,,No,223187.038085937994765,2034.595755516760164
"1470",207.600,11.900,119.003,"12745",,Westlake Village City Parkland,Westlake Village City Parkland,Open Access,24.706000000000000,24.705078900000000,"Westlake Village, City of",City,City Agency,http://www.wlv.org/index.aspx?nid=194,"Westlake Village, City of",Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.142427110000000,-118.801488980000002,31200 Oak Crest Dr,Westlake Village,"91361",,,No,1076148.940429690061137,8907.227260238849340
"2531",947.386,3.248,32.476,"46239",,Westlake Village Community Park,Westlake Village Community Park and YMCA,Open Access,19.000000000000000,30.767578250000000,"Westlake Canyon Oaks Homeowners Association
",Private,Home Owners Association,http://westlakecanyonoakshoa.com/,"Westlake Village, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Good,None,None,0.000000000000000,"0","1","2","2","0","0","1","0","0","0","0","0","0","0","0","1","7","0","0",Local Park,34.158280169999998,-118.800202130000002,31107 Thousand Oaks Blvd,Westlake Village,"91362",,,No,1340230.350585940061137,6136.332620290219893
"2825",375.167,1.004,10.040,"46573",,Beach Park 1,Beach Park 1,Open Access,3.767000000000000,3.766669540000000,"Santa Monica, City of",City,City Agency,http://santa-monica.org/departments/ccs/content.aspx?id=32599,"Santa Monica, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","3","0","0",Local Park,34.000612689999997,-118.486403830000000,Santa Monica,Santa Monica,"90405",,,No,164075.467773437994765,2156.354327104410004
"2826",2670.482,0.072,0.723,"46574",,South Beach Park,South Beach Park,Open Access,1.930000000000000,1.929590290000000,"Santa Monica, City of",City,City Agency,http://santa-monica.org/departments/ccs/content.aspx?id=32599,"Santa Monica, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0",Local Park,33.997289010000003,-118.482886230000005,3400 Barnard Way,Santa Monica,"90405",,,No,84052.615234374985448,2123.521125260670033
"1898",1900.068,0.522,5.217,"28110",,Lunada Bay,Lunada Bay,Open Access,9.968000000000000,9.911887470000000,"Palos Verdes Estates, City of",City,City Agency,http://www.pvestates.org/,"Palos Verdes Estates, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,33.771405809999997,-118.422103660000005,2400 Palos Verdes Dr W,Palos Verdes Peninsula,"90274",,,No,431760.096679688023869,3857.197502258800341
"1123",2071.275,0.203,2.026,"7100",,Russell Ranch Park,Russell Ranch Park,Open Access,4.197000000000000,4.196814580000000,"Westlake Village, City of",City,City Agency,http://www.wlv.org/index.aspx?nid=194,"Westlake Village, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0.000000000000000,"0","0","2","2","0","0","0","0","1","0","0","0","0","0","0","0","1","4","0",Local Park,34.152549790000002,-118.794362039999996,Russell Ranch Rd,Westlake Village,"91362",,,No,182812.510742187994765,1868.597088868559922
"1124",1231.654,0.202,2.019,"7101",,Canyon Oaks Park,Canyon Oaks Park,Open Access,2.487000000000000,2.486537890000000,"Westlake Village, City of",City,City Agency,http://www.wlv.org/index.aspx?nid=194,"Westlake Village, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","3","0","0",Local Park,34.164693260000000,-118.792470789999996,5655 Lindero Canyon Rd,Westlake Village,"91362",,,No,108313.155273437980213,1526.805359592649893
"1132",222.396,2.145,21.446,"7111",,Ladyface Agoura,Ladyface Agoura,Open Access,4.770000000000000,4.769438360000000,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.142115760000003,-118.789976429999996,29281 Agoura Rd,Agoura Hills,"91301",,,No,207755.902343750000000,2052.754563274780139
"153",333.304,0.175,1.746,"3757",,Latigo Canyon - Malibu Vista,Latigo Canyon - Malibu Vista,Open Access,0.582000000000000,0.581916070000000,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0.000000000000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",Regional Open Space,34.048088829999998,-118.776068129999999,Latigo Canyon Rd,Malibu,"90265",,,No,25348.164062500000000,690.792972959031090
"1115",1835.493,0.243,2.427,"7090","22836",Reyes Adobe Park,Reyes Adobe Park,Open Access,4.456000000000002,4.455388620000000,"Agoura Hills, City of",City,City Agency,http://www.ci.agoura-hills.ca.us/government/departments/community-services-parks-recreation/parks-facilities,"Agoura Hills, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0.000000000000000,"0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","3","0","0",Local Park,34.151572000000002,-118.782495900000001,31400 Rainbow Crest Drive,Agoura Hills,"91301",<Null>,,No,194075.951171875000000,2043.642006268700015
"2950",545.438,10.618,106.183,"7289","3000165",Val Verde Community Regional Park,Val Verde Community RP,Open Access,57.916302430000002,57.916302430000002,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community Regional,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,None,0.250000000000000,"1","1","1","0","1","0","0","0","2","1","0","0","0","1","0","2","2","8","0",Local Park,34.444449239999997,-118.665164730000001,30300 W. Arlington Rd.,Castaic,"91384","Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours","General: (661) 257-4014; Reservations: (800) 267-2757; Aquatics: (661) 257-7639",Yes,2522824.040039060171694,8486.331609744060188
