OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,total,pct_walk,unwalkable,unwalkab_1,unwalkab_2,unwalkab_3,unwalkab_4,unwalkab_5,unwalkab_6,unwalkab_7,unwalkab_8,unwalkab_9,unwalkab10,unwalkab11,unwalkab12,unwalkab13,unwalkab14,unwalkab15,unwalkab16,unwalkab17,unwalkab18,unwalkab19
"1","101110","4927","3185","11171","1727","3916",63.299999999999997,"74625","462",9.376902780596710,61.000000000000000,0.430000000000000,10.350000000000000,24.550000000000001,9.859999999999999,9.140000000000001,13.949999999999999,12295621.356445299461484,15083.854285950099438,1142402.493000,"68","101110","4927","3185","11171","1727","3916",63.299999999999997,"74625","462",9.376902780596710,61.000000000000000,0.430000000000000,10.350000000000000,24.550000000000001,9.859999999999999,9.140000000000001,13.949999999999999,12295621.356445299461484,15083.854285950099438,368952.09125
"2","101122","3742","3513","3666","1366","1338",66.599999999999994,"93125","133",3.554249064671300,76.689999999999998,3.590000000000000,10.340000000000000,4.420000000000000,13.350000000000000,8.600000000000000,6.640000000000000,28457743.563476599752903,31671.455840649301535,2644053.199000,"71","101122","3742","3513","3666","1366","1338",66.599999999999994,"93125","133",3.554249064671300,76.689999999999998,3.590000000000000,10.340000000000000,4.420000000000000,13.350000000000000,8.600000000000000,6.640000000000000,28457743.563476599752903,31671.455840649301535,779064.29122
"3","101220","3334","3035","12356","1325","4911",59.299999999999997,"55682","496",14.877024595081000,43.950000000000003,2.490000000000000,10.330000000000000,40.289999999999999,21.219999999999999,22.309999999999999,16.710000000000001,7522092.633789059706032,12698.783809055399615,698888.330200,"62","101220","3334","3035","12356","1325","4911",59.299999999999997,"55682","496",14.877024595081000,43.950000000000003,2.490000000000000,10.330000000000000,40.289999999999999,21.219999999999999,22.309999999999999,16.710000000000001,7522092.633789059706032,12698.783809055399615,264930.98271
"4","101221","3413","3111","24960","1356","9917",58.100000000000001,"46274","590",17.286844418400200,53.500000000000000,5.620000000000000,7.050000000000000,31.210000000000001,25.520000000000000,24.910000000000000,34.100000000000001,3811999.666015630122274,9161.710542425549647,354177.408200,,,,,,,,,,,,,,,,,,,,,
"5","101222","2740","2167","23935","1016","8875",57.700000000000003,"30016","951",34.708029197080300,53.960000000000001,0.150000000000000,2.390000000000000,43.500000000000000,16.469999999999999,23.350000000000001,15.380000000000001,3191370.855468750000000,9980.600460182929965,296514.497100,,,,,,,,,,,,,,,,,,,,,
"6","101300","4257","3330","4273","1599","1605",56.899999999999999,"87066","259",6.084096781771200,80.430000000000007,4.600000000000000,3.720000000000000,9.619999999999999,9.160000000000000,9.160000000000000,9.800000000000001,27773766.066406298428774,29384.860598957900947,2580504.370000,"77","101300","4257","3330","4273","1599","1605",56.899999999999999,"87066","259",6.084096781771200,80.430000000000007,4.600000000000000,3.720000000000000,9.619999999999999,9.160000000000000,9.160000000000000,9.800000000000001,27773766.066406298428774,29384.860598957900947,596673.46731
"7","101400","3957","2708","1624","1493","613",43.000000000000000,"66210","179",4.523629011877690,69.530000000000001,0.400000000000000,9.090000000000000,15.770000000000000,9.789999999999999,11.119999999999999,5.610000000000000,67915323.055664107203484,42668.928981855802704,6310131.611000,"79","101400","3957","2708","1624","1493","613",43.000000000000000,"66210","179",4.523629011877690,69.530000000000001,0.400000000000000,9.090000000000000,15.770000000000000,9.789999999999999,11.119999999999999,5.610000000000000,67915323.055664107203484,42668.928981855802704,1299540.80885
"8","102103","2175","1421","4748","781","1705",69.000000000000000,"59005","18",0.827586206896552,75.000000000000000,1.090000000000000,12.600000000000000,8.960000000000004,4.290000000000000,5.000000000000000,6.470000000000000,12770232.654296899214387,16349.935000435501934,1186497.006000,"72","102103","2175","1421","4748","781","1705",69.000000000000000,"59005","18",0.827586206896552,75.000000000000000,1.090000000000000,12.600000000000000,8.960000000000004,4.290000000000000,5.000000000000000,6.470000000000000,12770232.654296899214387,16349.935000435501934,330572.61305
"9","102104","3921","3456","6123","1344","2099",71.900000000000006,"98973","265",6.758479979597040,68.810000000000002,1.980000000000000,11.510000000000000,12.400000000000000,7.960000000000000,7.230000000000000,10.070000000000000,17851202.525390598922968,27555.466357013199740,1658572.588000,"97","102104","3921","3456","6123","1344","2099",71.900000000000006,"98973","265",6.758479979597040,68.810000000000002,1.980000000000000,11.510000000000000,12.400000000000000,7.960000000000000,7.230000000000000,10.070000000000000,17851202.525390598922968,27555.466357013199740,44510.54220
"10","102105","1843","1455","9688","555","2917",63.000000000000000,"82438","167",9.061313076505700,23.039999999999999,0.560000000000000,4.230000000000002,67.170000000000002,17.390000000000001,8.320000000000000,4.790000000000000,5303654.199218750000000,9962.251125560680521,492766.752700,"80","102105","1843","1455","9688","555","2917",63.000000000000000,"82438","167",9.061313076505700,23.039999999999999,0.560000000000000,4.230000000000002,67.170000000000002,17.390000000000001,8.320000000000000,4.790000000000000,5303654.199218750000000,9962.251125560680521,97143.06415
"11","102107","4050","3462","812","1293","259",53.700000000000003,"83200","395",9.753086419753091,61.710000000000001,1.540000000000000,10.260000000000000,23.570000000000000,11.350000000000000,4.910000000000000,10.150000000000000,139083341.077147990465164,63679.434263643401209,12922437.980000,"46","102107","4050","3462","812","1293","259",53.700000000000003,"83200","395",9.753086419753091,61.710000000000001,1.540000000000000,10.260000000000000,23.570000000000000,11.350000000000000,4.910000000000000,10.150000000000000,139083341.077147990465164,63679.434263643401209,6968057.64177
"12","103101","2716","2021","3466","981","1252",67.299999999999997,"109000","70",2.577319587628870,67.349999999999994,0.760000000000000,6.400000000000000,23.390000000000001,10.340000000000000,4.750000000000000,1.400000000000000,21846686.864257801324129,25422.127634616499563,2029812.314000,"52","103101","2716","2021","3466","981","1252",67.299999999999997,"109000","70",2.577319587628870,67.349999999999994,0.760000000000000,6.400000000000000,23.390000000000001,10.340000000000000,4.750000000000000,1.400000000000000,21846686.864257801324129,25422.127634616499563,973471.85870
"13","103102","4718","4022","9847","1687","3521",61.399999999999999,"71038","254",5.383637134378970,59.329999999999998,0.000000000000000,9.900000000000000,27.399999999999999,16.460000000000001,16.930000000000000,10.100000000000000,13357089.836914099752903,16530.394259328899352,1241026.083000,"72","103102","4718","4022","9847","1687","3521",61.399999999999999,"71038","254",5.383637134378970,59.329999999999998,0.000000000000000,9.900000000000000,27.399999999999999,16.460000000000001,16.930000000000000,10.100000000000000,13357089.836914099752903,16530.394259328899352,351627.49304
"14","103201","4710","3286","6241","1444","1913",59.500000000000000,"73844","555",11.783439490445900,61.270000000000003,1.060000000000000,9.369999999999999,26.210000000000001,10.410000000000000,5.960000000000000,4.820000000000000,21039344.773437500000000,18231.169373970798915,1954795.985000,"90","103201","4710","3286","6241","1444","1913",59.500000000000000,"73844","555",11.783439490445900,61.270000000000003,1.060000000000000,9.369999999999999,26.210000000000001,10.410000000000000,5.960000000000000,4.820000000000000,21039344.773437500000000,18231.169373970798915,200785.88603
"15","103202","1966","2102","1075","671","367",55.600000000000001,"106125","0",0.000000000000000,38.420000000000002,1.400000000000000,4.750000000000000,32.430000000000000,10.090000000000000,3.570000000000000,12.050000000000001,50999127.732421897351742,45719.368548250502499,4738413.954000,"66","103202","1966","2102","1075","671","367",55.600000000000001,"106125","0",0.000000000000000,38.420000000000002,1.400000000000000,4.750000000000000,32.430000000000000,10.090000000000000,3.570000000000000,12.050000000000001,50999127.732421897351742,45719.368548250502499,1601461.62907
"16","103300","3925","2945","1655","1394","588",56.899999999999999,"113568","137",3.490445859872610,75.680000000000007,0.110000000000000,8.050000000000002,12.130000000000001,3.700000000000000,1.090000000000000,8.420000000000000,66105765.822265602648258,37338.686313174599491,6141970.845000,"57","103300","3925","2945","1655","1394","588",56.899999999999999,"113568","137",3.490445859872610,75.680000000000007,0.110000000000000,8.050000000000002,12.130000000000001,3.700000000000000,1.090000000000000,8.420000000000000,66105765.822265602648258,37338.686313174599491,2658771.20852
"17","103401","2461","2280","4548","995","1839",65.000000000000000,"109271","124",5.038602194229990,68.680000000000007,0.000000000000000,16.640000000000001,10.170000000000000,9.080000000000000,5.090000000000000,7.870000000000000,15085817.307617200538516,20468.599512988901552,1401642.332000,"51","103401","2461","2280","4548","995","1839",65.000000000000000,"109271","124",5.038602194229990,68.680000000000007,0.000000000000000,16.640000000000001,10.170000000000000,9.080000000000000,5.090000000000000,7.870000000000000,15085817.307617200538516,20468.599512988901552,688642.24203
"18","103402","4071","3143","9594","1472","3469",61.000000000000000,"112306","219",5.379513633014000,55.920000000000002,2.110000000000000,18.000000000000000,21.160000000000000,13.650000000000000,4.680000000000000,6.240000000000000,11829767.978515600785613,14650.197627316001672,1099118.019000,"50","103402","4071","3143","9594","1472","3469",61.000000000000000,"112306","219",5.379513633014000,55.920000000000002,2.110000000000000,18.000000000000000,21.160000000000000,13.650000000000000,4.680000000000000,6.240000000000000,11829767.978515600785613,14650.197627316001672,548361.98585
"19","104103","3843","3183","10488","831","2268",76.299999999999997,"102128","114",2.966432474629200,10.150000000000000,13.609999999999999,7.560000000000000,66.409999999999997,24.690000000000001,16.930000000000000,7.220000000000000,10215165.992187500000000,13241.192062868200082,949109.314700,"33","104103","3843","3183","10488","831","2268",76.299999999999997,"102128","114",2.966432474629200,10.150000000000000,13.609999999999999,7.560000000000000,66.409999999999997,24.690000000000001,16.930000000000000,7.220000000000000,10215165.992187500000000,13241.192062868200082,640532.15084
"20","104105","6032","4272","26723","1510","6690",72.500000000000000,"50483","1385",22.960875331564999,4.040000000000000,4.200000000000000,5.320000000000000,82.579999999999998,41.619999999999997,29.539999999999999,18.559999999999999,6292902.125000000000000,11640.190229913901931,584683.679800,,,,,,,,,,,,,,,,,,,,,
"21","104108","5877","4154","13881","1325","3130",57.600000000000001,"51207","979",16.658158924621400,4.940000000000000,4.950000000000000,1.730000000000000,87.159999999999997,36.520000000000003,23.379999999999999,21.270000000000000,11803024.891601599752903,18965.773268653400009,1096637.232000,,,,,,,,,,,,,,,,,,,,,
"22","104124","4377","3083","2530","1257","727",69.200000000000003,"71000","305",6.968243088873660,28.649999999999999,13.510000000000000,9.500000000000000,47.700000000000003,17.350000000000001,8.920000000000000,10.840000000000000,48221678.204101599752903,39589.712187568409718,4480370.028000,"79","104124","4377","3083","2530","1257","727",69.200000000000003,"71000","305",6.968243088873660,28.649999999999999,13.510000000000000,9.500000000000000,47.700000000000003,17.350000000000001,8.920000000000000,10.840000000000000,48221678.204101599752903,39589.712187568409718,954008.01565
"23","104201","4398","3667","10450","800","1901",64.500000000000000,"71447","533",12.119145065939099,1.120000000000000,9.109999999999999,0.000000000000000,89.230000000000004,39.509999999999998,24.410000000000000,15.619999999999999,11732587.448242200538516,14811.353614776300674,1090096.593000,"31","104201","4398","3667","10450","800","1901",64.500000000000000,"71447","533",12.119145065939099,1.120000000000000,9.109999999999999,0.000000000000000,89.230000000000004,39.509999999999998,24.410000000000000,15.619999999999999,11732587.448242200538516,14811.353614776300674,753746.98255
"24","104203","4883","3904","17865","987","3611",60.299999999999997,"45972","1366",27.974605775138201,1.440000000000000,6.440000000000000,0.740000000000000,90.959999999999994,41.469999999999999,42.090000000000003,10.390000000000001,7620036.267578130587935,11052.528497270099251,707990.359400,,,,,,,,,,,,,,,,,,,,,
"25","104204","3311","2820","3219","770","749",64.599999999999994,"59844","360",10.872848082150400,8.690000000000000,4.510000000000000,5.240000000000000,78.849999999999994,32.549999999999997,21.239999999999998,10.080000000000000,28675847.308593798428774,30208.005175641101232,2664329.475000,"29","104204","3311","2820","3219","770","749",64.599999999999994,"59844","360",10.872848082150400,8.690000000000000,4.510000000000000,5.240000000000000,78.849999999999994,32.549999999999997,21.239999999999998,10.080000000000000,28675847.308593798428774,30208.005175641101232,1896567.93999
"26","104310","4414","3531","7579","765","1313",56.500000000000000,"90893","389",8.812868146805620,2.160000000000000,1.370000000000000,0.320000000000000,94.109999999999999,44.320000000000000,26.730000000000000,14.270000000000000,16237239.883789099752903,19099.518164077901019,1508627.632000,"66","104310","4414","3531","7579","765","1313",56.500000000000000,"90893","389",8.812868146805620,2.160000000000000,1.370000000000000,0.320000000000000,94.109999999999999,44.320000000000000,26.730000000000000,14.270000000000000,16237239.883789099752903,19099.518164077901019,505771.21425
