OBJECTID,UNIT_ID,LMS_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY,Shape__Area,Shape__Length
1,30,23603,El Barrio Park,El Barrio Park,Open Access,2.093,2.09299189,"Claremont, City of",City,City Agency,http://www.ci.claremont.ca.us/ps.leisurerecreation.cfm?ID=1709,"Claremont, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,Local Park,34.09708079,-117.70442319,400 Claremont Blvd,Claremont,91711,,,No,91170.3623046875,1451.54790608492
2,56,,El Dorado Park,El Dorado Park,Open Access,5.144,5.14321674,"Lancaster, City of",City,City Agency,http://www.cityoflancasterca.org/index.aspx?page=23,"Lancaster, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Not Reported,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,4,0,Local Park,34.69157769,-118.12210927,44501 5th St E,Lancaster,93535,,,No,224037.625,2192.27712847284
3,62,3000015,Atlantic Avenue Park,Atlantic Avenue Park,Open Access,1.96,1.95961029,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Pocket,Park < 5 Acres,Yes,Yes,Yes,Fair,Good,None,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,1,5,2,0,Local Park,34.02530363,-118.15520092,570 S. Atlantic Blvd.,Los Angeles,90022,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 7:30pm
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm
<p>
June 15th to August 22nd<br>
Pool Operating Hours<br>
Monday - Friday<br>
11:00am to 7:00pm<br>
Saturday<br>
9:00am to 5:00pm<br>
Sunday Closed
<p>
Splash pads start From May 1 through September 30, 11 a.m. to 7 p.m., 7 days a week","General/Aquatics: (323) 260-2341; Reservations: (888) 239-6700",Yes,85360.2919921875,1139.26995983114
4,72,22715,El Escorpion Park,El Escorpion Park,Open Access,66.914,66.33802876,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,None,Present - Fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.19674178,-118.6641685,6801  Sunset Ridge Ct,West Hills,91307,,(818) 883-6641,No,2889672.97070313,7761.8319754082
5,78,22860,El Marino Park/ El Marino Elementary,El Marino Park Elementary/El Marino Park,Open Access,3.2,1.65043868,"Culver City, City of",City,City Agency,http://www.culvercity.org/Home/Government/PRCS,"Culver City, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Fair,None,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,0,0,3,1,3,Local Park,33.99251602,-118.3992332,11450 Port Rd,Culver City,90230,,,No,71892.8251953125,1215.41527618112
6,82,66234,Robert H. Meyer Memorial State Beach,Robert H. Meyer Memorial SB,Open Access,35.742,34.25530891,California Department of Parks and Recreation,State,State Agency,http://www.parks.ca.gov/,California Department of Parks and Recreation,Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.03926545,-118.88273695,Malibu,Malibu,90265,,,No,1492155.28417969,8788.93107959338
7,99,23100,El Paseo Cahuenga Park,El Paseo Cahuenga Park,Open Access,1.546,1.54592742,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Good,Present - Good,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,34.13075142,-118.34987315,3300  Cahuenga Blvd,Los Angeles,90068,,(818) 763-7651,No,67340.330078125,1095.83849704796
8,161,23525,El Sereno North Park,El Sereno North Park,Open Access,3.078,3.07815283,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,Local Park,34.09745117,-118.16787757,4410  Garden Homes Ave,Los Angeles,90032,,(323) 225-3517,No,134083.794921875,1752.7399227567
9,169,2607,El Sereno Rec. Center,El Sereno Rec. Ctr.,Open Access,13.934,13.93379875,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,2,1,3,0,1,1,1,1,1,1,0,0,0,1,0,1,2,11,1,Local Park,34.07679818,-118.18112912,4721  Klamath St,Los Angeles,90032,,(323) 225-3517,No,606953.846679688,3107.71048920623
10,190,1915,Augustus Hawkins Natural Park,Augustus Hawkins Natural Park,Open Access,8.398,8.39815425,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Good,Present - Fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Local Park,33.99038415,-118.24665901,5790  Compton Ave,Los Angeles,90011,,(323) 581-4498,No,365822.13671875,2415.54100504391
